,city,icao,lat,lon,name,state,LL,JA
62,Indianapolis,K2R2,39.74810028,-86.47380066,Hendricks County Gordon Graham Field,Indiana,4.00,3.50
63,Milton,K2R4,30.6375999451,-86.9936981201,Peter Prince Field,Florida,4.10,3.95
64,Kenedy,K2R9,28.8250007629,-97.8656005859,Karnes County Airport,Texas,3.99,3.24
65,Indian Head,K2W5,38.6004981995,-77.0729980469,Maryland Airport,Maryland,5.30,5.20
66,Munday,K37F,33.4847984314,-99.5861968994,Munday Municipal Airport,Texas,3.00,4.00
67,Deer Lodge,K38S,46.38819885,-112.7659988,Deer Lodge City County Airport,Montana,4.15,3.45
68,Augusta,K3AU,37.6716003418,-97.0779037476,Augusta Municipal Airport,Kansas,3.75,2.84
69,Turner,K3B5,44.1888999939,-70.2329025269,Twitchell Airport,Maine,4.05,3.15
70,Chicago/Lake in the Hills,K3CK,42.2067985535,-88.3229980469,Lake in the Hills Airport,Illinois,3.79,2.55
71,Mansfield,K3F3,32.0735015869,-93.7655029297,C E 'Rusty' Williams Airport,Louisiana,3.44,3.65
72,Ashland,K3G4,40.9029998779,-82.2555999756,Ashland County Airport,Ohio,5.35,3.75
73,Hampton,K3J0,32.8678016663,-81.0831985474,Hampton Varnville Airport,South-Carolina,3.95,4.20
74,Afton,K3O9,36.5775985718,-94.8619003296,Grand Lake Regional Airport,Oklahoma,5.20,4.95
75,Jennings,K3R7,30.2427005768,-92.6734008789,Jennings Airport,Louisiana,4.00,4.60
76,Grants Pass,K3S8,42.5101013184,-123.388000488,Grants Pass Airport,Oregon,4.25,3.49
77,La Grange,K3T5,29.908000946,-96.9499969482,Fayette Regional Air Center Airport,Texas,3.26,N/A
78,Niles,K3TR,41.835899353,-86.2251968384,Jerry Tyler Memorial Airport,Michigan,3.99,2.98
79,Anaconda,K3U3,46.1530990601,-112.8679962158,Bowman Field,Montana,5.15,3.45
80,West Union,K3Y2,42.9850997925,-91.7906036377,George L Scott Municipal Airport,Iowa,4.70,3.50
81,Winterset,K3Y3,41.3628005981,-94.0211029053,Winterset Madison County Airport,Iowa,5.05,4.16
82,Floydada,K41F,34.00230026,-101.3300018,Floydada Municipal Airport,Texas,4.45,2.60
83,Manti,K41U,39.32910156,-111.6149979,Manti Ephraim Airport,Utah,5.06,4.06
84,Melbourne,K42A,36.07099915,-91.83010101,Melbourne Municipal John E Miller Field,Arkansas,2.84,3.14
85,Kountze/Silsbee,K45R,30.3362998962,-94.2574996948,Hawthorne Field,Texas,5.30,4.80
86,Alpine,K46U,43.1846008301,-111.0419998169,Alpine Airport,Wyoming,4.85,3.95
87,Moundridge,K47K,38.2090988159,-97.5027008057,Moundridge Municipal Airport,Kansas,4.19,1.95
88,Sutton,K48I,38.68700027,-80.65180206,Braxton County Airport,West-Virginia,4.90,4.30
89,Sturgis,K49B,44.4179992676,-103.375,Sturgis Municipal Airport,South-Dakota,4.75,3.49
90,Cedartown,K4A4,34.018699646,-85.1464996338,Polk County Airport- Cornelius Moore Field,Georgia,3.65,3.20
91,Scottsboro,K4A6,34.68870163,-86.00589752,Scottsboro Municipal Word Field,Alabama,3.90,3.45
92,Fort Payne,K4A9,34.4737014771,-85.7213973999,Isbell Field,Alabama,4.00,3.70
93,Plainville,K4B8,41.6903991699,-72.8647994995,Robertson Field,Connecticut,4.75,4.70
